The function is: func(x) = -0.5*cos(0.5x) - 0.5


			PASSIVE SEARCHER
===========================================================
| Amount of points | Minimal value | Uncertainty interval |
|---------------------------------------------------------|
|                1 |     -0.865844 |                    7 |
|                2 |     -0.993072 |              4.66667 |
|                3 |     -0.996099 |                  3.5 |
|                4 |     -0.977668 |                  2.8 |
|                5 |     -0.993072 |              2.33333 |
|                6 |            -1 |                    2 |
|                7 |     -0.996099 |                 1.75 |
|                8 |     -0.993072 |              1.55556 |
|                9 |     -0.999375 |                  1.4 |
|               10 |     -0.999484 |              1.27273 |
|               11 |     -0.996099 |              1.16667 |
|               12 |     -0.998521 |              1.07692 |
|               13 |            -1 |                    1 |
|               14 |     -0.998889 |             0.933333 |
|               15 |     -0.997804 |                0.875 |
|               16 |     -0.999784 |             0.823529 |
|               17 |     -0.999807 |             0.777778 |
|               18 |     -0.998443 |             0.736842 |
|               19 |     -0.999375 |                  0.7 |
|               20 |            -1 |             0.666667 |
|               21 |     -0.999484 |             0.636364 |
|               22 |     -0.998937 |             0.608696 |
|               23 |     -0.999892 |             0.583333 |
|               24 |       -0.9999 |                 0.56 |
|               25 |     -0.999168 |             0.538462 |
|               26 |     -0.999657 |             0.518519 |
|               27 |            -1 |                  0.5 |
|               28 |     -0.999703 |             0.482759 |
|               29 |     -0.999375 |             0.466667 |
|               30 |     -0.999935 |             0.451613 |
|               31 |     -0.999939 |               0.4375 |
|               32 |     -0.999484 |             0.424242 |
|               33 |     -0.999784 |             0.411765 |
|               34 |            -1 |                  0.4 |
|               35 |     -0.999807 |             0.388889 |
|               36 |     -0.999589 |             0.378378 |
|               37 |     -0.999957 |             0.368421 |
|               38 |     -0.999959 |             0.358974 |
|               39 |     -0.999648 |                 0.35 |
|               40 |     -0.999851 |             0.341463 |
|               41 |            -1 |             0.333333 |
|               42 |     -0.999865 |             0.325581 |
|               43 |     -0.999709 |             0.318182 |
|               44 |     -0.999969 |             0.311111 |
|               45 |      -0.99997 |             0.304348 |
|               46 |     -0.999745 |             0.297872 |
|               47 |     -0.999892 |             0.291667 |
|               48 |            -1 |             0.285714 |
|               49 |       -0.9999 |                 0.28 |
|               50 |     -0.999784 |              0.27451 |
|               51 |     -0.999977 |             0.269231 |
|               52 |     -0.999978 |             0.264151 |
|               53 |     -0.999807 |             0.259259 |
|               54 |     -0.999917 |             0.254545 |
|               55 |            -1 |                 0.25 |
|               56 |     -0.999923 |             0.245614 |
|               57 |     -0.999833 |             0.241379 |
|               58 |     -0.999982 |             0.237288 |
|               59 |     -0.999983 |             0.233333 |
|               60 |     -0.999849 |             0.229508 |
|               61 |     -0.999935 |             0.225806 |
|               62 |            -1 |             0.222222 |
|               63 |     -0.999939 |              0.21875 |
|               64 |     -0.999867 |             0.215385 |
|               65 |     -0.999986 |             0.212121 |
|               66 |     -0.999986 |             0.208955 |
|               67 |     -0.999878 |             0.205882 |
|               68 |     -0.999947 |             0.202899 |
|               69 |            -1 |                  0.2 |
|               70 |      -0.99995 |             0.197183 |
|               71 |     -0.999892 |             0.194444 |
|               72 |     -0.999988 |             0.191781 |
|               73 |     -0.999989 |             0.189189 |
|               74 |       -0.9999 |             0.186667 |
|               75 |     -0.999957 |             0.184211 |
|               76 |            -1 |             0.181818 |
|               77 |     -0.999959 |             0.179487 |
|               78 |      -0.99991 |             0.177215 |
|               79 |      -0.99999 |                0.175 |
|               80 |      -0.99999 |              0.17284 |
|               81 |     -0.999916 |             0.170732 |
|               82 |     -0.999964 |             0.168675 |
|               83 |            -1 |             0.166667 |
|               84 |     -0.999965 |             0.164706 |
|               85 |     -0.999924 |             0.162791 |
|               86 |     -0.999992 |              0.16092 |
|               87 |     -0.999992 |             0.159091 |
|               88 |     -0.999929 |             0.157303 |
|               89 |     -0.999969 |             0.155556 |
|               90 |            -1 |             0.153846 |
|               91 |      -0.99997 |             0.152174 |
|               92 |     -0.999935 |             0.150538 |
|               93 |     -0.999993 |             0.148936 |
|               94 |     -0.999993 |             0.147368 |
|               95 |     -0.999939 |             0.145833 |
|               96 |     -0.999973 |              0.14433 |
|               97 |            -1 |             0.142857 |
|               98 |     -0.999974 |             0.141414 |
|               99 |     -0.999944 |                 0.14 |
|              100 |     -0.999994 |             0.138614 |
|              101 |     -0.999994 |             0.137255 |
|              102 |     -0.999947 |             0.135922 |
|              103 |     -0.999977 |             0.134615 |
|              104 |            -1 |             0.133333 |
|              105 |     -0.999978 |             0.132075 |
